id,name,team,classic,roles,price,initialPrice,fvm,fvmMantra
5841,Svilar,Roma,P,Por,19,18,90,90
4431,Carnesecchi,Atalanta,P,Por,16,16,56,56
5116,Martinez Jo.,Inter,P,Por,16,17,63,63
4964,Vicario,Juventus,P,Por,16,16,62,62
6966,Butez,Como,P,Por,15,16,47,47
4312,Maignan,Milan,P,Por,14,15,51,51
4360,Caprile,Cagliari,P,Por,11,9,25,25
6482,Mandas,Lazio,P,Por,11,9,35,35
133,Skorupski,Bologna,P,Por,10,10,28,28
2521,De Gea,Fiorentina,P,Por,10,13,24,24
572,Meret,Napoli,P,Por,10,11,45,45
6534,Perri,Torino,P,Por,9,9,17,17
2134,Falcone,Lecce,P,Por,8,8,24,24
6462,Okoye,Udinese,P,Por,8,9,26,26
6344,Sanchez Ro.,Como,P,Por,8,8,15,15
7332,Bijlow,Genoa,P,Por,7,8,12,12
6415,Palmisani,Frosinone,P,Por,6,4,13,13
7411,Daffara,Parma,P,Por,6,7,5,5
4236,Muric,Sassuolo,P,Por,6,7,14,14
2170,Milinkovic-Savic V.,Napoli,P,Por,5,5,10,10
6248,Stankovic F.,Venezia,P,Por,5,6,9,9
4485,Thiam,Monza,P,Por,4,5,4,4
6662,Corvi,Parma,P,Por,3,1,10,10
7172,Pessina Mas.,Bologna,P,Por,2,1,1,1
4,Sportiello,Atalanta,P,Por,1,1,1,1
7533,Happonen,Bologna,P,Por,1,1,1,1
6650,Sherri,Cagliari,P,Por,1,1,1,1
7301,Tornqvist,Monza,P,Por,1,1,3,3
2809,Vigorito,Como,P,Por,1,1,1,1
6403,Christensen O.,Fiorentina,P,Por,1,1,1,1
158,Lezzerini,Fiorentina,P,Por,1,1,1,1
7463,Desplanches,Frosinone,P,Por,1,2,1,1
7466,Lolic,Frosinone,P,Por,1,1,1,1
219,Sommariva,Genoa,P,Por,1,1,1,1
6569,Stolz,Genoa,P,Por,1,1,1,1
1926,Di Gennaro,Inter,P,Por,1,1,1,1
2814,Provedel,Inter,P,Por,1,2,5,5
1930,Pinsoglio,Juventus,P,Por,1,1,1,1
7337,Motta,Lazio,P,Por,1,1,1,1
7534,Renzetti,Lazio,P,Por,1,1,1,1
2815,Terracciano,Milan,P,Por,1,1,1,1
6813,Torriani,Milan,P,Por,1,1,1,1
7475,Strajnar,Monza,P,Por,1,1,1,1
2845,Contini,Napoli,P,Por,1,1,1,1
7048,De Marzi,Roma,P,Por,1,1,1,1
610,Gollini,Roma,P,Por,1,1,1,1
4518,Russo A.,Sassuolo,P,Por,1,1,1,1
4867,Turati,Sassuolo,P,Por,1,1,1,1
7457,Mascardi,Torino,P,Por,1,1,1,1
7363,Siviero,Torino,P,Por,1,1,1,1
543,Padelli,Udinese,P,Por,1,1,1,1
6671,Grandi,Venezia,P,Por,1,1,1,1
7531,Pozzi,Venezia,P,Por,1,1,1,1
2127,Satalino,Sassuolo,P,Por,1,1,1,1
7557,Penev,Lecce,P,Por,1,1,1,1
7560,Pisseri,Frosinone,P,Por,1,1,1,1
3,Radunovic,Cagliari,P,Por,1,1,1,1
4957,Montipò,Venezia,P,Por,1,1,1,1
4468,Bleve,Lecce,P,Por,1,1,1,1
